,proportion_kbw,depth/carat_kbw,table/carat_kbw,x/y_kbw,depth/table_kbw,volume/table_kbw,volume/depth_kbw
0,8.0,1.0,1.0,6.0,8.0,5.0,4.0
1,1.0,9.0,8.0,5.0,9.0,0.0,0.0
2,4.0,3.0,3.0,8.0,12.0,2.0,2.0
3,2.0,7.0,6.0,4.0,11.0,0.0,0.0
4,8.0,2.0,2.0,6.0,5.0,4.0,3.0
5,10.0,0.0,0.0,7.0,8.0,6.0,5.0
6,5.0,2.0,2.0,6.0,12.0,4.0,3.0
7,9.0,0.0,0.0,5.0,8.0,6.0,5.0
8,1.0,10.0,8.0,4.0,11.0,0.0,0.0
9,8.0,1.0,1.0,5.0,9.0,5.0,4.0
10,2.0,6.0,6.0,7.0,7.0,0.0,1.0
11,9.0,1.0,2.0,9.0,4.0,4.0,3.0
12,6.0,2.0,2.0,5.0,8.0,3.0,3.0
13,10.0,0.0,0.0,6.0,6.0,6.0,5.0
14,10.0,0.0,0.0,5.0,10.0,7.0,6.0
15,11.0,0.0,1.0,6.0,2.0,6.0,6.0
16,2.0,6.0,6.0,5.0,9.0,1.0,0.0
17,2.0,7.0,7.0,6.0,4.0,0.0,0.0
18,6.0,2.0,2.0,5.0,9.0,3.0,2.0
19,10.0,0.0,0.0,6.0,5.0,6.0,5.0
20,10.0,0.0,0.0,6.0,5.0,6.0,5.0
21,5.0,3.0,3.0,6.0,6.0,2.0,2.0
22,1.0,10.0,9.0,4.0,9.0,0.0,0.0
23,9.0,1.0,1.0,5.0,9.0,5.0,4.0
24,0.0,10.0,9.0,7.0,7.0,0.0,0.0
25,7.0,2.0,2.0,6.0,9.0,4.0,3.0
26,7.0,2.0,2.0,6.0,11.0,4.0,3.0
27,6.0,2.0,2.0,7.0,9.0,3.0,3.0
28,9.0,0.0,0.0,6.0,9.0,7.0,5.0
29,7.0,2.0,2.0,7.0,5.0,3.0,3.0
30,8.0,1.0,1.0,6.0,8.0,5.0,4.0
31,1.0,8.0,7.0,5.0,11.0,0.0,0.0
32,7.0,2.0,2.0,4.0,7.0,3.0,3.0
33,9.0,1.0,1.0,5.0,7.0,5.0,4.0
34,5.0,3.0,3.0,5.0,9.0,2.0,2.0
35,5.0,3.0,2.0,7.0,12.0,3.0,2.0
36,11.0,0.0,0.0,6.0,6.0,8.0,7.0
37,4.0,3.0,3.0,8.0,8.0,2.0,2.0
38,7.0,2.0,2.0,6.0,6.0,4.0,3.0
39,3.0,5.0,5.0,7.0,9.0,1.0,1.0
40,4.0,5.0,5.0,5.0,8.0,1.0,1.0
41,7.0,2.0,2.0,7.0,7.0,4.0,3.0
42,5.0,4.0,3.0,5.0,11.0,2.0,2.0
43,6.0,3.0,3.0,5.0,8.0,2.0,2.0
44,1.0,10.0,9.0,5.0,9.0,0.0,0.0
45,2.0,7.0,7.0,5.0,7.0,0.0,0.0
46,1.0,10.0,8.0,4.0,10.0,0.0,0.0
47,10.0,1.0,2.0,6.0,1.0,3.0,4.0
48,6.0,3.0,3.0,7.0,10.0,2.0,2.0
49,8.0,2.0,2.0,5.0,5.0,3.0,3.0
50,5.0,3.0,3.0,6.0,3.0,2.0,2.0
51,5.0,3.0,4.0,3.0,5.0,1.0,2.0
52,1.0,9.0,8.0,5.0,9.0,0.0,0.0
53,3.0,5.0,4.0,5.0,10.0,1.0,1.0
54,1.0,9.0,8.0,6.0,9.0,0.0,0.0
55,0.0,10.0,9.0,7.0,9.0,0.0,0.0
56,6.0,2.0,2.0,7.0,7.0,3.0,3.0
57,1.0,10.0,9.0,6.0,7.0,0.0,0.0
58,3.0,5.0,5.0,7.0,7.0,1.0,1.0
59,10.0,0.0,0.0,5.0,8.0,7.0,6.0
60,6.0,2.0,2.0,6.0,7.0,3.0,3.0
61,1.0,8.0,7.0,6.0,10.0,0.0,0.0
62,1.0,9.0,8.0,5.0,7.0,0.0,0.0
63,5.0,3.0,3.0,5.0,8.0,2.0,2.0
64,1.0,9.0,7.0,6.0,11.0,0.0,0.0
65,7.0,1.0,1.0,6.0,11.0,5.0,3.0
66,5.0,3.0,3.0,7.0,8.0,2.0,2.0
67,1.0,10.0,9.0,6.0,8.0,0.0,0.0
68,8.0,1.0,1.0,5.0,9.0,6.0,4.0
69,4.0,5.0,4.0,5.0,9.0,1.0,1.0
70,4.0,4.0,4.0,4.0,8.0,1.0,1.0
71,8.0,1.0,1.0,5.0,7.0,5.0,4.0
72,5.0,3.0,3.0,6.0,7.0,2.0,2.0
73,10.0,0.0,0.0,5.0,8.0,7.0,6.0
74,10.0,0.0,0.0,5.0,8.0,7.0,6.0
75,4.0,4.0,4.0,4.0,8.0,1.0,1.0
76,10.0,0.0,0.0,6.0,9.0,7.0,6.0
77,0.0,10.0,9.0,5.0,7.0,0.0,0.0
78,2.0,6.0,6.0,6.0,9.0,0.0,0.0
79,0.0,10.0,9.0,4.0,8.0,0.0,0.0
80,8.0,1.0,2.0,6.0,4.0,4.0,4.0
81,7.0,2.0,2.0,3.0,9.0,4.0,3.0
82,0.0,11.0,9.0,8.0,10.0,0.0,0.0
83,7.0,2.0,2.0,6.0,8.0,4.0,3.0
84,4.0,4.0,4.0,6.0,9.0,1.0,1.0
85,9.0,0.0,0.0,5.0,9.0,6.0,5.0
86,8.0,1.0,1.0,5.0,6.0,4.0,4.0
87,1.0,8.0,7.0,7.0,8.0,0.0,0.0
88,9.0,1.0,1.0,8.0,3.0,4.0,4.0
89,3.0,7.0,6.0,4.0,6.0,0.0,0.0
90,8.0,2.0,2.0,6.0,5.0,4.0,3.0
91,6.0,2.0,2.0,3.0,11.0,3.0,3.0
92,3.0,5.0,5.0,5.0,8.0,1.0,1.0
93,1.0,10.0,8.0,5.0,11.0,0.0,0.0
94,5.0,3.0,3.0,5.0,9.0,2.0,2.0
95,5.0,2.0,2.0,7.0,13.0,4.0,2.0
96,9.0,1.0,1.0,6.0,5.0,5.0,4.0
97,11.0,0.0,0.0,6.0,8.0,10.0,9.0
98,0.0,11.0,10.0,6.0,9.0,0.0,0.0
99,8.0,2.0,2.0,6.0,3.0,3.0,3.0
100,5.0,3.0,3.0,7.0,10.0,2.0,2.0
101,2.0,8.0,7.0,6.0,5.0,0.0,0.0
102,1.0,10.0,8.0,6.0,8.0,0.0,0.0
103,6.0,2.0,2.0,3.0,10.0,3.0,3.0
104,1.0,9.0,9.0,4.0,5.0,0.0,0.0
105,10.0,0.0,0.0,6.0,7.0,7.0,6.0
106,7.0,2.0,1.0,5.0,10.0,4.0,3.0
107,8.0,1.0,1.0,5.0,8.0,5.0,4.0
108,0.0,10.0,8.0,5.0,10.0,0.0,0.0
109,8.0,1.0,1.0,6.0,9.0,5.0,4.0
110,6.0,2.0,2.0,5.0,6.0,3.0,3.0
111,1.0,10.0,8.0,4.0,11.0,0.0,0.0
112,12.0,0.0,0.0,5.0,3.0,8.0,8.0
113,9.0,0.0,0.0,6.0,8.0,6.0,5.0
114,11.0,0.0,0.0,4.0,5.0,8.0,7.0
115,2.0,7.0,7.0,3.0,7.0,0.0,0.0
116,0.0,14.0,12.0,4.0,6.0,0.0,0.0
117,6.0,2.0,2.0,4.0,10.0,3.0,3.0
118,9.0,0.0,0.0,5.0,8.0,6.0,5.0
119,1.0,9.0,8.0,5.0,10.0,0.0,0.0
120,7.0,2.0,2.0,3.0,8.0,4.0,3.0
121,2.0,9.0,8.0,4.0,6.0,0.0,0.0
122,5.0,4.0,5.0,5.0,2.0,1.0,1.0
123,11.0,0.0,0.0,5.0,12.0,10.0,7.0
124,1.0,10.0,8.0,4.0,10.0,0.0,0.0
125,6.0,3.0,3.0,4.0,6.0,2.0,2.0
126,9.0,1.0,1.0,4.0,5.0,4.0,4.0
127,1.0,9.0,8.0,5.0,11.0,0.0,0.0
128,11.0,0.0,0.0,6.0,7.0,9.0,8.0
129,6.0,3.0,3.0,6.0,5.0,2.0,2.0
130,8.0,1.0,1.0,7.0,6.0,4.0,4.0
131,7.0,2.0,2.0,6.0,6.0,4.0,3.0
132,10.0,0.0,0.0,6.0,9.0,7.0,5.0
133,1.0,8.0,7.0,4.0,9.0,0.0,0.0
134,6.0,2.0,2.0,9.0,6.0,3.0,3.0
135,1.0,10.0,8.0,6.0,10.0,0.0,0.0
136,5.0,3.0,4.0,5.0,3.0,1.0,2.0
137,7.0,2.0,2.0,7.0,8.0,4.0,3.0
138,1.0,8.0,7.0,3.0,9.0,0.0,0.0
139,5.0,3.0,3.0,7.0,6.0,2.0,2.0
140,1.0,10.0,8.0,6.0,11.0,0.0,0.0
141,5.0,3.0,3.0,5.0,8.0,2.0,2.0
142,1.0,9.0,8.0,4.0,7.0,0.0,0.0
143,12.0,0.0,0.0,6.0,11.0,11.0,9.0
144,8.0,1.0,1.0,6.0,10.0,5.0,4.0
145,8.0,1.0,1.0,7.0,8.0,5.0,4.0
146,10.0,0.0,0.0,7.0,9.0,7.0,6.0
147,11.0,0.0,0.0,5.0,9.0,9.0,7.0
148,8.0,2.0,2.0,6.0,4.0,4.0,3.0
149,5.0,3.0,3.0,5.0,9.0,2.0,2.0
150,6.0,2.0,2.0,4.0,8.0,3.0,3.0
151,6.0,2.0,2.0,6.0,9.0,3.0,3.0
152,8.0,1.0,1.0,4.0,8.0,4.0,4.0
153,4.0,4.0,4.0,5.0,7.0,1.0,1.0
154,0.0,10.0,9.0,8.0,8.0,0.0,0.0
155,4.0,4.0,4.0,5.0,10.0,1.0,1.0
156,6.0,2.0,2.0,7.0,4.0,3.0,3.0
157,4.0,4.0,4.0,6.0,6.0,1.0,1.0
158,5.0,3.0,3.0,5.0,8.0,2.0,2.0
159,5.0,2.0,2.0,7.0,11.0,4.0,3.0
160,2.0,7.0,6.0,4.0,12.0,0.0,0.0
161,8.0,1.0,1.0,5.0,8.0,5.0,4.0
162,7.0,2.0,2.0,4.0,8.0,4.0,3.0
163,7.0,1.0,1.0,6.0,9.0,4.0,3.0
164,1.0,8.0,8.0,7.0,6.0,0.0,0.0
165,3.0,6.0,6.0,5.0,7.0,0.0,0.0
166,8.0,1.0,0.0,5.0,12.0,6.0,4.0
167,4.0,4.0,4.0,7.0,9.0,1.0,1.0
168,6.0,2.0,2.0,4.0,9.0,4.0,3.0
169,10.0,1.0,1.0,3.0,3.0,5.0,4.0
170,10.0,0.0,0.0,3.0,12.0,9.0,7.0
171,7.0,1.0,2.0,8.0,4.0,4.0,4.0
172,6.0,3.0,3.0,6.0,4.0,2.0,2.0
173,1.0,9.0,8.0,6.0,7.0,0.0,0.0
174,1.0,10.0,8.0,6.0,9.0,0.0,0.0
175,4.0,4.0,4.0,5.0,6.0,1.0,1.0
176,3.0,5.0,5.0,4.0,6.0,1.0,1.0
177,10.0,0.0,0.0,5.0,8.0,8.0,7.0
178,8.0,2.0,2.0,3.0,6.0,4.0,3.0
179,9.0,0.0,0.0,7.0,9.0,6.0,5.0
180,1.0,10.0,8.0,5.0,11.0,0.0,0.0
181,1.0,9.0,7.0,5.0,10.0,0.0,0.0
