,cut,color,clarity,city_Amsterdam,city_Antwerp,city_Dubai,city_Kimberly,city_Las Vegas,city_London,city_Luxembourg,city_Madrid,city_New York City,city_Paris,city_Surat,city_Tel Aviv,city_Zurich
0,10,1.43,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,6,4.29,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,1,5.71,6.25,0,0,0,0,1,0,0,0,0,0,0,0,0
3,3,10.0,3.75,0,0,0,1,0,0,0,0,0,0,0,0,0
4,15,5.71,3.75,0,0,1,0,0,0,0,0,0,0,0,0,0
5,15,7.14,2.5,0,0,0,0,0,0,0,0,0,0,0,1,0
6,1,4.29,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,15,1.43,6.25,0,0,0,1,0,0,0,0,0,0,0,0,0
8,15,4.29,6.25,0,0,0,0,0,0,0,0,0,0,0,0,1
9,15,5.71,3.75,0,1,0,0,0,0,0,0,0,0,0,0,0
10,10,8.57,3.75,0,0,0,0,1,0,0,0,0,0,0,0,0
11,10,2.86,3.75,0,0,0,0,0,0,0,0,0,0,0,1,0
12,15,2.86,2.5,0,0,0,0,0,0,0,1,0,0,0,0,0
13,10,5.71,6.25,0,0,0,0,0,0,0,0,0,1,0,0,0
14,15,4.29,2.5,0,0,0,0,0,0,0,0,0,0,1,0,0
15,3,5.71,2.5,0,0,0,0,0,0,0,0,0,1,0,0,0
16,15,10.0,6.25,1,0,0,0,0,0,0,0,0,0,0,0,0
17,10,5.71,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,15,2.86,6.25,0,0,0,0,0,0,1,0,0,0,0,0,0
19,10,10.0,2.5,0,0,0,0,0,0,0,0,0,0,0,1,0
20,10,4.29,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,10,5.71,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0
22,6,5.71,6.25,0,0,0,0,0,0,0,0,0,0,0,0,1
23,15,5.71,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,10,5.71,3.75,0,0,0,0,0,0,0,1,0,0,0,0,0
25,15,2.86,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0
26,10,5.71,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,10,10.0,3.75,0,0,0,0,0,0,0,0,1,0,0,0,0
